S.No,Question,Options,Answer,Explanation,Subject,Sub-Topic
79,"With reference to the ""Tea Board"" in India, consider the
following statements:

1. The Tea Board is a statutory body.

2. It is a regulatory body attached to the Ministry of Agriculture and
Farmers Welfare.

3. The Tea Board's Head Office is situated in Bengaluru.

4. The Board has overseas offices at Dubai and Moscow.

Which of the statements given above are correct?","(a) 1 and 3
(b) 2 and 4
(c) 3 and 4
(d) 1 and 4",D,"Statement 1 is Correct: The Tea Board of India is a statutory body
created by an act of Parliament, the Tea Act of 1953, and started
functioning in 1954.

Statement 2 is Incorrect: Because tea is a major export and commercial
plantation crop, the Tea Board does not fall under the Ministry of
Agriculture. It functions under the administrative control of the
Ministry of Commerce and Industry.

Statement 3 is Incorrect: Since Assam and West Bengal account for the
vast majority of India's tea production, the Tea Board's Head Office
is naturally located in Kolkata, not Bengaluru. (Note: Bengaluru is the
headquarters for the Coffee Board).

Statement 4 is Correct: To promote Indian tea in international markets,
the Tea Board maintains overseas offices. Currently, these are located
in Dubai, Moscow, and London.

Conclusion: Only statements 1 and 4 are correct.",Governance,Government Institutions
80,"Which one of the following best describes the term
""greenwashing""?","(a) Conveying a false impression that a company's products are eco-friendly and environmentally sound
(b) Non-inclusion of ecologicalenvironmental costs in the Annual Financial Statements of a country
(c) Ignoring the disastrous ecological consequences while undertaking infrastructure development
(d) Making mandatory provisions for environmental costs in a government projectprogramme",A,"Direct Answer: Greenwashing is the practice of making an unsubstantiated
or misleading claim about the environmental benefits of a product,
service, technology, or company practice. Option (a) is the exact
definition.

Core Concept: * The term is a portmanteau of ""green"" (eco-friendly)
and ""whitewashing"" (covering up undesirable facts).

It occurs when an organization spends more time and money marketing
itself as environmentally friendly than on actually minimizing its
environmental impact.

For example, a fast-fashion brand packaging its clothes in recycled
paper while still exploiting heavily polluting textile factories, or
using buzzwords like ""all-natural,"" ""sustainable,"" or
""eco-friendly"" without any verifiable certification.

Relevance: Regulators globally (like the SEC in the US and SEBI in
India) are increasingly cracking down on corporate greenwashing in ESG
(Environmental, Social, and Governance) investing and advertising.",Environment,Pollution
81,"Consider the following statements:

1.  High clouds primarily reflect solar radiation and cool the surface
of the Earth.

2.  Low clouds have a high absorption of infrared radiation emanating
from the Earth's surface and thus cause warming effect.

Which of the statements given above isare correct?",(a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2,D,"Direct Answer: Both statements are incorrect because the
climatic effects of high clouds and low clouds have been swapped.

Core Concept: * High Clouds (e.g., Cirrus): They are thin
and semi-transparent. They let most of the incoming shortwave
solar radiation pass through to the surface. However, they are
highly effective at trapping the outgoing longwave (infrared)
radiation emitted by the Earth. Thus, high clouds primarily cause
a warming effect (Greenhouse effect).

Low Clouds (e.g., Stratocumulus): They are thick, dense, and
mostly opaque. They act as a massive mirror, primarily
reflecting incoming shortwave solar radiation back into
space (high Albedo). Because they are at lower altitudes and
warmer temperatures, they do not trap much infrared radiation.
Thus, low clouds primarily cause a cooling effect.

UPSC Tip: Always remember: Low clouds = Cooling (high albedo);
High clouds = Warming (greenhouse effect).",Geography,Physical geography
82,"Consider the following statements:

1.  Bidibidi is a large refugee settlement in north-western Kenya.

2.  Some people who fled from South Sudan civil war live in Bidibidi.

3.  Some people who fled from civil war in Somalia live in Dadaab
     refugee complex in Kenya.

Which of the statements given above isare correct?",(a) 1 and 2 (b) 2 only (c) 2 and 3 (d) 3 only,C,"Statement 1 is Incorrect: The Bidi Bidi refugee settlement is
located in the Yumbe District of north-western Uganda, not
Kenya. It is one of the largest refugee settlements in the world.

Statement 2 is Correct: The Bidi Bidi settlement was rapidly
expanded to accommodate the massive influx of refugees fleeing the
brutal civil war and humanitarian crisis in neighboring South
Sudan.

Statement 3 is Correct: The Dadaab refugee complex is located in
Garissa County, Kenya. For decades, it has served as a safe
haven primarily for refugees fleeing the prolonged civil war,
famine, and extremist violence in Somalia.

UPSC Context: The UN refugee agency (UNHCR) reports frequently
feature these mega-camps. Map-based current affairs regarding
Africa, the Middle East, and refugee crises are staple UPSC
topics.",Geography,Political Geography
83,"Consider the following countries:

1.  Armenia

2.  Azerbaijan

3.  Croatia

4.  Romania

5.  Uzbekistan

Which of the above are members of the Organization of Turkic
States?","(a) 1, 2 and 4 (b) 1 and 3 (c) 2 and 5 (d) 3, 4 and 5",C,"Direct Answer: The Organization of Turkic States (OTS) is an
intergovernmental organization comprising countries with
Turkic-speaking populations. Only Azerbaijan (2) and
Uzbekistan (5) from the list are members.

Core Membership: * The organization, formerly known as the
Turkic Council (founded in 2009), includes 5 full members: Turkey,
Azerbaijan, Kazakhstan, Kyrgyzstan, and Uzbekistan.

Hungary and Turkmenistan are observer states.

Why others are excluded:

Armenia: It is geographically located in the Caucasus but is
not a Turkic nation. Furthermore, it has deep historical
animosity and ongoing border conflicts with Turkey and
Azerbaijan.

Croatia & Romania: These are EasternCentral European
nations with Slavic and Romance linguistic roots, completely
unrelated to the Turkic ethnolinguistic group.

Conclusion: The correct combination is 2 and 5.",Geography,Political Geography
84,"Consider the following statements:

1.  Gujarat has the largest solar park in India.

2.  Kerala has a fully solar powered International Airport.

3.  Goa has the largest floating solar photovoltaic project in India.

Which of the statements given above isare correct?",(a) 1 and 2 (b) 2 only (c) 1 and 3 (d) 3 only,B,"Statement 1 is Incorrect: The largest solar park in India (and
the world by capacity) is the Bhadla Solar Park, which is
located in the Jodhpur district of Rajasthan, not Gujarat.
(Gujarat's Charanka solar park is large, but not the largest).

Statement 2 is Correct: The Cochin International Airport in
Kerala holds the distinction of being the world's first fully
solar-powered airport. It meets all its electricity needs from a
massive dedicated solar plant.

Statement 3 is Incorrect: The largest floating solar
photovoltaic (PV) projects in India are located in Telangana
(Ramagundam Floating Solar PV Project by NTPC) and Madhya
Pradesh (Omkareshwar Dam on the Narmada river). Goa does not
host the largest floating solar plant.

Conclusion: Only statement 2 is factually correct.",Environment,Renewable energy
85,"With reference to the United Nations Convention on the Law of Sea,
consider the following statements:

1.  A coastal state has the right to establish the breadth of its
territorial sea up to a limit not exceeding 12 nautical miles,
measured from baseline determined in accordance with the
convention.

2.  Ships of all states, whether coastal or land-locked, enjoy the right
of innocent passage through the territorial sea.

3.  The Exclusive Economic Zone shall not extend beyond 200 nautical
miles from the baseline from which the breadth of the territorial
sea is measured.

Which of the statements given above are correct?","(a) 1 and 2 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3",D,"Context: The United Nations Convention on the Law of the Sea
(UNCLOS) lays down a comprehensive regime of law and order in the
world's oceans and seas establishing rules governing all uses of
the oceans and their resources.

Statement 1 is Correct: As per Article 3 of UNCLOS, every
coastal State has the right to establish the breadth of its
Territorial Sea up to a limit not exceeding 12 nautical
miles from its coastal baseline. Within this zone, the coastal
state exercises full sovereignty.

Statement 2 is Correct: As per Article 17, ships of all States,
whether coastal or land-locked, enjoy the Right of Innocent
Passage through the territorial sea. ""Innocent passage"" means
navigating through the territorial sea continuously and
expeditiously, without engaging in any activities prejudicial to
the peace, good order, or security of the coastal State.

Statement 3 is Correct: As per Article 57, the Exclusive
Economic Zone (EEZ) shall not extend beyond 200 nautical
miles from the baseline. In this zone, the coastal State has
sovereign rights for exploring, exploiting, conserving, and
managing natural resources (like fisheries and oil).

Conclusion: All statements perfectly align with the legal text
of UNCLOS.",Geography,International conventions
86,"Which one of the following statements best reflects the issue with
Senkaku Islands, sometimes mentioned in the news?","(a) It is generally believed that they are artificial islands made by
(b) China and Japan engage in maritime disputes over these islands in East China Sea.
(c) A permanent American military base has been set up there to help Taiwan to increase its defence capabilities.
(d) Though International Court of Justice declared them as no man's land, some South-East Asian countries claim them.",B,"Direct Answer: The Senkaku Islands issue is a highly volatile
geopolitical territorial dispute primarily between Japan and
China in the East China Sea. Option (b) describes this
accurately.

Core Details:

The Senkaku Islands are a group of uninhabited islands
controlled and administered by Japan.

China heavily contests this administration, claiming the
islands as its sovereign territory based on historical
records, referring to them as the Diaoyu islands.

Taiwan also claims the islands, calling them Tiaoyutai.

Why others are incorrect: * Option (a) describes the Spratly or
Paracel islands in the South China Sea, where China has built
artificial military outposts.

Options (c) and (d) are entirely fabricated distractors. The US
does not have a base there, and the ICJ has not declared it a
'no man's land'.",Geography,Political Geography
87,"Consider the following pairs:

 Country                   Important reason for being in the news recently 


 1. Chad                   Setting up of permanent military base by China 

 2. Guinea                Suspension of Constitution and Government by military 

 3. Lebanon             Severe and prolonged economic depression 

 4. Tunisia                Suspension of Parliament by President 

How many pairs given above are correctly matched?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",C,"Pair 1 is Incorrect: Chad was primarily in the international
news in 2021 because its long-serving President Idriss Déby was
killed by rebels on the battlefield, leading to a transitional
military council taking power. China's first permanent overseas
military base is located in Djibouti (Horn of Africa), not
Chad.

Pair 2 is Correct: In September 2021, the Armed Forces of Guinea
successfully staged a coup d'état, capturing President Alpha
Condé, suspending the constitution, and dissolving the government.

Pair 3 is Correct: Lebanon is enduring one of the most severe,
prolonged economic and financial depressions globally since the
mid-19th century, characterized by hyperinflation, severe
shortages of fuel and medicine, and a massive currency collapse.

Pair 4 is Correct: In July 2021, Tunisian President Kais Saied
invoked emergency powers to sack the Prime Minister, suspend the
parliament, and strip politicians of their immunity in what
opponents termed a constitutional coup.

Conclusion: Three pairs (2, 3, and 4) are correctly matched.",Geography,Political Geography
88,"Consider the following pairs :

 Region often mentioned in the news        Country 

 1. Anatolia                                                 Turkey 

 2. Amhara                                                 Ethiopia 
 
 3. Cabo Delgado                                      Spain 

 4. Catalonia                                              Italy 

How many pairs given above are correctly matched?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",B,"This question tests knowledge of global flashpoints and geographical
regions.

Pair 1 is Correct: Anatolia, also known as Asia Minor, makes up
the vast majority of the modern-day Republic of Turkey.

Pair 2 is Correct: Amhara is one of the regional states of
Ethiopia. It was heavily featured in the news due to the
spillover of the deadly Tigray War, where ethnic militias were
involved in intense conflict.

Pair 3 is Incorrect: Cabo Delgado is the northernmost province
of Mozambique in East Africa. It has been the site of a brutal
Islamist insurgency (linked to ISIS) and significant natural gas
discoveries, drawing global attention. It is not in Spain.

Pair 4 is Incorrect: Catalonia is a wealthy autonomous community
in northeastern Spain (containing Barcelona), not Italy. It is
world-famous for its ongoing political movement seeking
independence from Spain.

Conclusion: Only two pairs (Anatolia and Amhara) are correctly
matched.",Geography,Political Geography
89,"With reference to Indian laws about wildlife protection, consider
the following statements:

1.  Wild animals are the sole property of the government.

2.  When a wild animal is declared protected, such animal is entitled
     for equal protection whether it is found in protected areas or
     outside.

3.  Apprehension of a protected wild animal becoming a danger to human
    life is sufficient ground for its capture or killing.

Which of the statements given above isare correct?",(a) 1 and 2 (b) 2 only (c) 1 and 3 (d) 3 only,B,"Statement 1 is Incorrect: While Section 39 of the Wild Life
(Protection) Act, 1972 (WPA) declares that wild animals hunted or
kept illegally are the property of the State Government, the use
of the extreme word ""sole"" makes the statement technically
incorrect. Individuals or institutions can possess captive wild
animals or animal articles legally if they hold a valid ownership
certificate issued by the Chief Wildlife Warden under the Act.

Statement 2 is Correct: The WPA classifies animals into
schedules based on the degree of protection they require (e.g.,
Schedule I for tigers and elephants). The legal protection
afforded to a Schedule I animal remains absolutely identical and
applies with full force whether the animal is physically residing
deep inside a tiger reserve (protected area) or has strayed into
human habitation (outside).

Statement 3 is Incorrect: Section 11 of the WPA states that a
protected wild animal can be huntedkilled only if the Chief
Wildlife Warden is satisfied that the animal has become a
definitive threat to human life or is so disableddiseased as to
be beyond recovery. Mere apprehension or suspicion is entirely
insufficient. Furthermore, the law mandates that capturing,
tranquilizing, or relocating the animal must be prioritized over
killing it.

Conclusion: Only statement 2 is correct.",Environment,Central Acts
90,"Certain species of which one of the following organisms are well
known as cultivators of fungi?","(a) Ant
(b) Cockroach
(c) Crab
(d) Spider",A,"Direct Answer: Certain species of Ants, most famously the
Leaf-cutter ants (of the tribe Attini), are renowned evolutionary
agriculturalists known as cultivators of fungi.

Ecological Mechanism:  Over 50 million years before humans
invented agriculture, these ants evolved an advanced system of
fungiculture.

Leaf-cutter ants forage massive amounts of fresh vegetation
(leaves, flowers). However, they cannot digest plant matter
directly.

They bring the leaves back to their subterranean nests, chew
them into a pulp, and use this organic material as a substrate
to cultivate a specific mutualistic fungus (Leucoagaricus
gongylophorus*).

The ants meticulously tend to these ""fungal gardens,""
protecting them from pests using antibiotic-producing bacteria
on their bodies. In return, the harvested fungus serves as the
sole food source for the ant colony's larvae.

Other farmers: Termites and ambrosia beetles also farm fungi,
but among the given options, the ant is the scientifically
celebrated answer.",Environment,Flora and Fauna
91,"Consider the following pairs:

 Site of Ashoka's major rock edicts           Location in the State of 

 1. Dhauli                                                            Odisha 

 2. Erragudi                                                   Andhra Pradesh 

 3. Jaugada                                                  Madhya Pradesh 

 4. Kalsi                                                            Karnataka 

How many pairs given above are correctly matched?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",B,"This question tests the geographical locations of Ashoka's Major
Rock Edicts (MRE).

Pair 1 is Correct: Dhauli is famously located near Bhubaneswar
in Odisha. It contains the famous Kalinga Edicts, where Ashoka
expresses paternalism towards his subjects after the bloody
Kalinga War.

Pair 2 is Correct: Yerragudi (or Erragudi) is a major Ashokan
inscription site situated in the Kurnool district of Andhra
Pradesh.

Pair 3 is Incorrect: Jaugada is the second site of the special
Kalinga Edicts (alongside Dhauli). It is located in the Ganjam
district of Odisha, not Madhya Pradesh. (Famous MP edicts
include Gujarra and Sanchi).

Pair 4 is Incorrect: Kalsi is an important site because it is
the only Ashokan rock edict located in northern India. It is
situated on the banks of the Yamuna River near Dehradun in
Uttarakhand, far away from Karnataka.

Conclusion: Only two pairs (Dhauli and Erragudi) are correctly
matched.",History,Ancient History
92,"Consider the following pairs:

 King                       Dynasty 

 1. Nannuka           Chandela 

 2. Jayashakti        Paramara 

 3. Nagabhata II    Gurjara-Pratihara 

 4. Bhoja               Rashtrakuta 

How many pairs given above are correctly matched?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",B,"Pair 1 is Correct: Nannuka was the founder of the Chandela
dynasty of central India (the dynasty that famously built the
Khajuraho temples) in the early 9th century.

Pair 2 is Incorrect: Jayashakti (often called Jeja) was a
prominent early king of the Chandela dynasty, not the Paramara
dynasty. The region ruled by the Chandelas came to be known as
Jejakabhukti (the province of Jeja) in his honor.

Pair 3 is Correct: Nagabhata II was a highly successful emperor
of the Gurjara-Pratihara dynasty. He captured the imperial
city of Kannauj and made it his capital during the famous
Tripartite Struggle.

Pair 4 is Incorrect: The name Bhoja is historically associated
with two great kings: Mihira Bhoja of the Gurjara-Pratihara
dynasty, and the legendary philosopher-king Raja Bhoja of Dhar
from the Paramara dynasty. The Rashtrakuta dynasty (founded by
Dantidurga) did not have a prominent king named Bhoja.

Conclusion: Only two pairs (1 and 3) are correctly matched.",History,Medieval History
93,"Which one of the following statements about Sangam literature in
ancient South India is correct?","(a) Sangam poems are devoid of any reference to material culture.
(b) The social classification of Varna was known to Sangam poets.
(c) Sangam poems have no reference to warrior ethic.
(d) Sangam literature refers to magical forces as irrational.",B,"Direct Answer: The Sangam poets were aware of the Northern
social classification of Varna, making option (b) the only correct
statement.

Detailed Breakdown:

Option (a) is False: Sangam literature provides immense
historical data regarding the material culture of ancient
Tamilakam. It vividly describes flourishing port cities (like
Puhar and Muziris), lucrative Roman trade, agriculture,
ornaments, and urban life.

Option (b) is True: While the rigid caste system of the
Vedic north had not fully crystallized in the south, the
conceptual framework of Varna was certainly known to them. The
earliest Tamil grammar text, Tolkappiyam, explicitly
mentions four castes: Arasar (kings), Andanar
(Brahmanaspriests), Vanigar (merchants), and Vellalar
(agriculturists).

Option (c) is False: A massive portion of Sangam poetry is
broadly classified into Puram (objectiveexterior) poems.
These poems are exclusively dedicated to praising the martial
prowess of kings, the glory of the battlefield, and a deeply
entrenched warrior ethic (like the worship of hero stones or
Nadukal).

Option (d) is False: The ancient Tamils believed heavily in
animism and pervasive sacredmagical forces (such as Anangu,
a potent spiritual power believed to reside in certain objects
and chaste women). These were deeply integrated into their
religious life, not dismissed as irrational.",History,Ancient History
94,"""Yogavasistha"" was translated into Persian by Nizamuddin Panipati
during the reign of:","(a) Akbar
(b) Humayun
(c) Shahjahan
(d) Aurangzeb",A,"Direct Answer: The ancient Sanskrit philosophical text
Yogavasistha was translated into Persian by Nizamuddin Panipati
during the reign of Mughal Emperor Akbar.

Historical Context:

Emperor Akbar possessed a profound curiosity for comparative
religion and Indian philosophical traditions.

To foster cultural synthesis and mutual understanding between
his Hindu and Muslim subjects, Akbar established the Maktab
Khana (Translation Bureau) at Fatehpur Sikri.

Under his royal patronage, an organized effort was launched to
translate seminal Sanskrit texts---including the Mahabharata
(translated as the Razmnama), Ramayana, Atharva Veda, and
Lilavati---into Persian.

As part of this massive intellectual project, Nizamuddin
Panipati was commissioned to translate the Yogavasistha, a
text exploring Advaita Vedanta and the illusory nature of the
material world. (Note: Prince Dara Shikoh, Shah Jahan's son,
later commissioned another famous translation of the text).",History,Medieval History
95,"The world's second tallest statue in sitting pose of Ramanuja was
inaugurated by the Prime Minister of India at Hyderabad recently. Which
one of the following statements correctly represents the teachings of
Ramanuja?","(a) The best means of salvation was devotion.
(b) Vedas are eternal, self-existent and wholly authoritative.
(c) Logical arguments were essential means for the highest bliss.
(d) Salvation was to be obtained through meditation.",A,"Direct Answer: Sri Ramanujacharya, the 11th-century philosopher
and social reformer, fundamentally taught that profound devotion
(Bhakti) and total surrender to a personal God (VishnuNarayana)
was the supreme pathway to achieve salvation (Moksha).

Core Philosophy:

Ramanuja was the chief proponent of the Vishishtadvaita
(Qualified Non-dualism) school of Vedanta.

While Adi Shankaracharya (Advaita) emphasized Jnana
(knowledge) and the formless realization of Brahman, Ramanuja
strongly argued against a purely intellectual approach. He
taught that Brahman has infinite auspicious qualities (Saguna)
and that intense love, compassion, and Bhakti are superior to
mere logical arguments, rituals, or meditation for attaining
liberation.

Context: This question was framed around the inauguration of the
216-foot tall ""Statue of Equality"" in Hyderabad in 2022, built
to commemorate Ramanuja's 1,000th birth anniversary and his
teachings of equality and devotion.",History,Ancient History
96,"The Prime Minister recently inaugurated the new Circuit House near
Somnath Temple at Veraval. Which of the following statements are correct
regarding Somnath Temple ?

1.  Somnath Temple is one of the Jyotirlinga shrines.

2.  A description of Somnath Temple was given by Al-Biruni.

3.  Pran Pratishtha of Somnath Temple (installation of the present day
temple) was done by President S. Radhakrishnan.

Select the correct answer using the code given below:","(a) 1 and 2 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3",A,"Statement 1 is Correct: The majestic Somnath Temple, located on
the western coast of Gujarat in Prabhas Patan, is highly revered
in Hinduism as the first among the twelve sacred Jyotirlinga
shrines of Lord Shiva.

Statement 2 is Correct: The renowned 11th-century Arab polymath
and historian Al-Biruni provided a detailed and famous account
of the Somnath Temple's incredible wealth, religious
significance, and its subsequent destruction by Mahmud of Ghazni
in his famous work Kitab-al-Hind.

Statement 3 is Incorrect: Following independence, the temple was
reconstructed under the leadership of Sardar Vallabhbhai Patel.
The Pran Pratishtha (consecration ceremony) of the newly built
modern temple was officially performed on May 11, 1951, by
India's first President, Dr. Rajendra Prasad, not Dr. S.
Radhakrishnan.

Conclusion: Statements 1 and 2 are correct.",History,Ancient History
97,"Which one of the following statements best describes the role of B
cells and T cells in the human body?","(a) They protect the body from environmental allergens.
(b) They alleviate the body's pain and inflammation.
(c) They act as immunosuppressants in the body.
(d) They protect the body from the diseases caused by pathogens.",D,"Direct Answer: B cells and T cells are specialized white blood
cells (lymphocytes) that form the core of the adaptive immune
system. Their fundamental role is to protect the body from
infectious diseases caused by pathogens (viruses, bacteria,
fungi).

Core Mechanisms:

B-Cells (B lymphocytes): They function primarily by
producing Y-shaped proteins called antibodies. These
antibodies lock onto specific antigens (foreign invaders)
marking them for destruction or neutralizing them directly.

T-Cells (T lymphocytes): They do not produce antibodies.
Instead, 'Cytotoxic T-cells' directly attack and destroy
host cells that have already been infected by viruses or have
turned cancerous. 'Helper T-cells' act as generals,
releasing chemical signals (cytokines) to coordinate the
overall immune response.

Why others are wrong: They do not act as immunosuppressants
(option c is the exact opposite of what they do), nor are their
primary roles pain alleviation (option b) or merely dealing with
environmental allergens (option a, which is mostly the role of IgE
antibodies and mast cells).",Science and Tech,Biotech
98,"Consider the following statements:

1.  Other than those made by humans, nanoparticles do not exist in
nature.

2.  Nanoparticles of some metallic oxides are used in the manufacture of
some cosmetics.

3.  Nanoparticles of some commercial products which enter the
environment are unsafe for humans.

Which of the statements given above isare correct?",(a) 1 only (b) 3 only (c) 1 and 2 (d) 2 and 3,D,"Statement 1 is Incorrect: Nanoparticles (particles with at least
one dimension between 1 and 100 nanometers) exist abundantly in
nature. Natural nanoparticles are generated by phenomena such as
volcanic eruptions, forest fires, sea spray, and the weathering of
minerals. They are absolutely not exclusively human-made.

Statement 2 is Correct: Engineered nanoparticles of metallic
oxides are a staple in the modern cosmetics industry. The most
prominent examples are Zinc Oxide (ZnO) and Titanium Dioxide
($TiO_2$) nanoparticles, which are extensively used in
sunscreens because they offer excellent broad-spectrum UV
protection without leaving a thick white residue on the skin.

Statement 3 is Correct: The rapidly growing field of
""nanotoxicology"" studies this exact threat. When synthetic
nanoparticles from commercial products (like anti-bacterial silver
in socks, or microbeads in face washes) wash into water systems,
they persist in the environment. Because of their microscopic
size, they can easily bypass human biological barriers (like the
blood-brain barrier or cell membranes), potentially causing severe
cellular damage, oxidative stress, and toxicity.

Conclusion: Only statements 2 and 3 are correct.",Science and Tech,Nanotech
99,"Consider the following statements:

DNA Barcoding can be a tool to:

1.  assess the age of a plant or animal.

2.  distinguish among species that look alike.

3.  identify undesirable animal or plant materials in processed foods.


Which of the statements given above isare correct?",(a) 1 only (b) 3 only (c) 1 and 2 (d) 2 and 3,D,"What is DNA Barcoding? It is a taxonomic method that uses a
short genetic marker in an organism's DNA to rapidly and
accurately identify it as belonging to a particular species. It
acts similarly to a supermarket scanner reading the black lines of
a UPC barcode.

Statement 1 is Incorrect: DNA sequences remain fundamentally
constant throughout an organism's life cycle. Therefore, DNA
barcoding cannot determine the age of an individual plant or
animal. (Age is determined by counting tree rings, examining tooth
wear, or radiocarbon dating).

Statement 2 is Correct: It is incredibly effective at
identifying ""cryptic species""---organisms that are
morphologically identical (look exactly alike to the human eye)
but are genetically distinct species.

Statement 3 is Correct: DNA barcoding is widely used in food
safety and forensics. Because it only requires a tiny fragment of
DNA, it can analyze heavily processed materials (like powders,
canned fish, or medicinal capsules) to detect adulteration,
illegal substitution of cheaperendangered meats, or toxic plant
contaminants.

Conclusion: Only statements 2 and 3 are correct applications of
the technology.",Science and tech,Biotech
100,"Consider the following:

1.  Carbon monoxide

2.  Nitrogen oxide

3.  Ozone

4.  Sulphur dioxide

Excess of which of the above in the environment is/are cause(s) of
acid rain?","(a) 1, 2 and 3 (b) 2 and 4 only (c) 4 only (d) 1, 3 and 4",B,"Direct Answer: Acid rain is directly caused by the chemical
transformation of primarily two precursor pollutants: Sulphur
Dioxide ($SO_2$) and Oxides of Nitrogen (NOx).

The Mechanism:

When fossil fuels (like coal in thermal power plants or diesel
in vehicles) are burned, they release large quantities of
$SO_2$ (4) and NOx (2) into the atmosphere.

Once airborne, these gases react vigorously with water, oxygen,
and other chemicals in the presence of sunlight.

$SO_2$ oxidizes to form Sulfuric Acid ($H_2SO_4$), and
NOx reacts to form Nitric Acid ($HNO_3$). These strong
acids then mix with precipitation and fall to the ground as
acid rain, snow, or fog, damaging aquatic ecosystems, forests,
and historical monuments (like the Taj Mahal).

Why others are excluded: Carbon monoxide (1) is a deadly
asphyxiating gas, and surface-level Ozone (3) is a harmful
secondary pollutant (smog), but neither act as primary precursors
that combine with atmospheric moisture to create strong acids.

Conclusion: Only 2 and 4 are the correct culprits. Option (b) is
the right answer.",Environment,Pollution
