Q.No,2,Options,Answer,Explanation,Difficulty,TimePeriod,Sub- Topic
120,The historic INA (Indian National Army) Trials of 1945-46 were held at the Red Fort in Delhi. Which of the following statements regarding these trials is NOT correct?,"(A) The trials triggered massive nationwide sympathy and unprecedented cross-party political support for the accused.
(B) The Congress formed an INA Defence Committee which included prominent lawyers like Bhulabhai Desai and Tej Bahadur Sapru.
(C) The Muslim League and the Communist Party of India vehemently opposed the INA prisoners and boycotted the defense efforts.
(D) The intense public pressure eventually forced the British Commander-in-Chief to remit the sentences of the convicted officers.",C,"Direct Answer: Option C is the correct answer because it is historically false. The Muslim League, the Communist Party of India, the Unionist Party, and the Akali Dal all expressed full solidarity with the INA prisoners.

Why the other options are wrong: Options A, B, and D are factually correct statements. The trials became an emotionally charged national cause, and Jawaharlal Nehru even donned his lawyer's robes after decades to join the defense team.

Core Concepts: The INA trials were a strategic blunder by the British. By putting Prem Kumar Sahgal, Shah Nawaz Khan, and Gurbaksh Singh Dhillon on public trial, they inadvertently transformed them into national heroes and shattered the loyalty of the British Indian armed forces.

Peripheral Facts: The patriotic fervor generated by the INA trials directly contributed to the Royal Indian Navy (RIN) Mutiny of February 1946, signaling to the British that they could no longer rely on Indian troops to maintain the empire.",MEDIUM,Modern,INA Trials 1945
121,"Consider the following statements regarding the Government of India Act, 1935:

1. It completely abolished the system of Dyarchy in the provinces and introduced provincial autonomy.

2. It introduced the concept of Dyarchy at the central level, designating defense and foreign affairs as 'Reserved' subjects.

3. It vested the residuary legislative powers explicitly in the Federal Legislature rather than the Governor-General.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because statements 1 and 2 accurately describe the massive structural shifts of the 1935 Act.

Why the other options are wrong: Statement 3 is entirely false. Unlike modern federal constitutions, the 1935 Act did not vest residuary powers in either the federal or provincial legislatures; it placed them entirely in the discretionary hands of the Governor-General (Viceroy).

Core Concepts: The Act proposed a complex ""All India Federation"" consisting of British provinces and Princely States. However, this federation never materialized because the Princely States overwhelmingly refused to join, fearing a loss of their autocratic powers.

Peripheral Facts: Despite its conservative safeguards (safeguarding British financial and military control), the Act served as the structural blueprint for the Constitution of independent India, providing massive chunks of its administrative framework.",HARD,Modern,Constitutional History (1935 Act)
122,"The Brahmo Samaj underwent multiple schisms over theological and social issues. Arrange the following variations of the Samaj in the correct chronological order of their formation:

1. Sadharan Brahmo Samaj

2. Brahmo Samaj of India

3. Adi Brahmo Samaj

Select the correct sequence:","(A) 3 - 2 - 1
(B) 2 - 3 - 1
(C) 3 - 1 - 2
(D) 1 - 2 - 3",A,"Direct Answer: Option A is correct. The timeline is: Adi Brahmo Samaj (1866), Brahmo Samaj of India (1866), and Sadharan Brahmo Samaj (1878).

Why the other options are wrong: Any other sequence violates the historical progression of ideological splits driven by Keshab Chandra Sen's radicalism and subsequent controversies.

Core Concepts: The first split occurred in 1866 when Keshab Chandra Sen pushed for radical social reforms (inter-caste marriage, anti-purdah), breaking away from Debendranath Tagore's conservative faction (which became the Adi Brahmo Samaj) to form the Brahmo Samaj of India.

Peripheral Facts: The second split (creating the Sadharan Brahmo Samaj) happened in 1878 because Keshab Chandra Sen hypocritically married his underage daughter to the Maharaja of Cooch Behar, violating his own campaign against child marriage.",HARD,Modern,Socio-Religious Reforms (Brahmo Samaj)
123,"The ""Drain of Wealth"" theory was the cornerstone of the economic critique of British imperialism by early Indian nationalists. Which of the following components did Dadabhai Naoroji explicitly include in his calculation of this 'drain'?

1. Remittances to England by European officials out of their Indian salaries and savings.

2. The 'Home Charges' which included pensions of British officials and interest on public debt.

3. Profits made by British private capital invested heavily in Indian railways and plantations.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Direct Answer: Option C is correct because all three elements were aggressively documented by Naoroji as mechanisms through which India's wealth was unilaterally siphoned to Britain.

Why the other options are wrong: None of the components are false. The early nationalists were meticulous in their economic accounting to prove that British rule was not a benevolent civilizing mission but an extractive enterprise.

Core Concepts: The Economic Critique (popularized by Naoroji in Poverty and Un-British Rule in India and by R.C. Dutt in Economic History of India) shattered the illusion of British benevolence. It argued that the drain prevented domestic capital formation, directly causing India's extreme poverty and frequent famines.

Peripheral Facts: The 'Home Charges' were particularly resented because India was forced to pay for the maintenance of the British India Office in London, a cost the British Exchequer entirely avoided.",HARD,Modern,Economic Critique of Colonialism
124,"Consider the following columns matching prominent peasant movements with their core regions and demands:

(Movement)                                 (Core Region & Demand)
1. Eka Movement                    Awadh; demanded that rent be paid strictly in cash and receipts be provided.
2. Tebhaga Movement           Bengal; demanded the reduction of the landlord's share of the crop to one-third.
3. Telangana Rebellion          Hyderabad; armed communist struggle against the brutal vetti (forced labor) system.

How many of the rows given above are correctly matched?","(A) Only one row
(B) Only two rows
(C) All three rows
(D) None of the rows",C,"Direct Answer: Option C is correct as all three iconic peasant movements are perfectly matched with their geographies and primary socio-economic demands.

Why the other options are wrong: Dropping any pair is incorrect as these are the defining characteristics of these regional agrarian struggles.

Core Concepts: Peasant movements evolved from spontaneous localized riots (like the Deccan Riots of 1875) into highly organized, ideologically driven class struggles (like Tebhaga and Telangana), often spearheaded by the Kisan Sabhas and the Communist Party in the 1930s and 40s.

Peripheral Facts: The Tebhaga movement (1946) was driven by the Floud Commission's recommendation that sharecroppers (bargadars) should retain two-thirds of the harvest, rather than the customary one-half exacted by the jotedars.",HARD,Modern,Peasant Movements
125,"With reference to the early political associations that preceded the Indian National Congress, consider the following statements:

1. The British Indian Association (1851) was formed in Calcutta primarily to safeguard the vested interests of the wealthy landlord class.

2. The Madras Mahajana Sabha (1884) was established by non-Brahmin leaders purely to advocate for lower-caste representation in government jobs.

3. The East India Association was founded by Dadabhai Naoroji in London to influence British public opinion regarding Indian grievances.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",C,"Direct Answer: Option C is correct because statements 1 and 3 accurately describe the foundational purpose of those early associations.

Why the other options are wrong: Statement 2 is false. The Madras Mahajana Sabha was a broad-based nationalist organization founded by elite intellectuals like M. Viraraghavachariar and G. Subramania Iyer to coordinate political efforts, not a specialized anti-caste movement (which came later with the Justice Party).

Core Concepts: The pre-Congress associations laid the crucial groundwork for organized politics. However, they were heavily localized, dominated by the wealthy intelligentsia, and lacked a cohesive pan-Indian national vision, which the INC eventually provided.

Peripheral Facts: G. Subramania Iyer, a founder of the Madras Mahajana Sabha, was also the founder of the influential English newspaper The Hindu.",HARD,Modern,Early Political Associations
126,"Consider the following landmark commissions related to the development of education in British India:

1. Wood's Despatch 

2. Sadler University Commission 

3. Hunter Education Commission

4. Raleigh Commission 

What is the correct chronological order of the establishment of these commissions?","(A) 1 - 3 - 4 - 2
(B) 1 - 4 - 3 - 2
(C) 3 - 1 - 4 - 2
(D) 1 - 3 - 2 - 4",A,"Direct Answer: Option A is correct. The precise sequence is Wood's Despatch (1854), Hunter Commission (1882), Raleigh Commission (1902), and Sadler Commission (1917).

Why the other options are wrong: Any other order misrepresents the historical evolution of colonial education policy from primary schooling to university regulation.

Core Concepts: Wood's Despatch is the ""Magna Carta"" of English education, setting up the hierarchy from primary vernacular schools to universities. The Hunter Commission reviewed primary and secondary education. The Raleigh Commission led to the controversial Universities Act of 1904 (heavy state control). The Sadler Commission focused on university reforms, specifically the separation of secondary education.

Peripheral Facts: Lord Curzon appointed the Raleigh Commission aggressively to curb the political radicalization of university students, deeply angering nationalist leaders who saw it as an attack on intellectual freedom.",HARD,Modern,Education Policies
127,"In the context of the Indian trade union movement, which of the following statements regarding the Trade Disputes Act of 1929 is/are correct?

1. It made sympathetic strikes and political strikes illegal.

2. It mandated the appointment of Courts of Inquiry and Boards of Conciliation to resolve industrial disputes.

3. It explicitly guaranteed the right to collective bargaining and recognized all trade unions as legal entities.

Select the correct answer using the codes given below:","(A) 1 only
(B) 1 and 2 only
(C) 2 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 1 and 2 accurately reflect the restrictive yet structured nature of the 1929 Act.

Why the other options are wrong: Statement 3 is entirely false. The 1929 Act was an anti-labor, highly repressive law aimed at crushing the growing communist influence in trade unions. Legal recognition of unions was actually provided earlier by the Indian Trade Union Act of 1926.

Core Concepts: The late 1920s saw massive industrial unrest and the rise of militant communist union leaders (like those in the Girni Kamgar Union). The state responded with draconian legislation and mass arrests, culminating in the infamous Meerut Conspiracy Case.

Peripheral Facts: To protest this specific anti-labor Trade Disputes Act (along with the Public Safety Bill), Bhagat Singh and Batukeshwar Dutt threw harmless smoke bombs in the Central Legislative Assembly in 1929.",HARD,Modern,Trade Union Movement
128,"The historic Gandhi-Irwin Pact of 1931 resulted in the suspension of the Civil Disobedience Movement. Which of the following demands made by Gandhi were explicitly ACCEPTED by Viceroy Irwin in this pact?

1. The immediate release of political prisoners, including those convicted of violent crimes against the state.

2. The right to peaceful and non-aggressive picketing of liquor and foreign cloth shops.

3. The right of coastal villages to manufacture salt for personal consumption without paying the salt tax.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Direct Answer: Option B is correct because statements 2 and 3 were accepted by the Viceroy, while statement 1 contains a critical caveat.

Why the other options are wrong: Statement 1 is false. Irwin agreed to release only those political prisoners who were strictly non-violent. He adamantly refused to pardon Bhagat Singh and his comrades, who were convicted of violence.

Core Concepts: The Pact was a tactical retreat for Gandhi but a massive psychological victory for the Congress, as it was the first time the British Viceroy negotiated with an Indian leader on an equal footing.

Peripheral Facts: Radical youth leaders like Subhas Chandra Bose and Jawaharlal Nehru were deeply disappointed by the pact, feeling Gandhi had suspended a peaking mass movement without securing a commitment for Purna Swaraj or saving Bhagat Singh.",HARD,Modern,Gandhi-Irwin Pact
129,"Consider the following revolutionary organizations and their associated historical actions:

(Organization)  (Action)

1. Anushilan Samiti Assassination of the tyrannical Magistrate Kingsford in Muzaffarpur.

2. Hindustan Republican Assoc. Execution of the Kakori Train Robbery to fund armed rebellion.

3. Indian Republican Army Execution of the Chittagong Armoury Raid under Surya Sen.

How many of the rows given above are correctly matched?","(A) Only one row
(B) Only two rows
(C) All three rows
(D) None of the rows",C,"Direct Answer: Option C is correct as all three revolutionary outfits are flawlessly matched with their most famous historical strikes against the colonial state.

Why the other options are wrong: Eliminating any pair would ignore the defining events of the Indian revolutionary terrorist movement across different phases.

Core Concepts: Revolutionary terrorism occurred in two major phases: post-Swadeshi (focused on individual assassinations like Kingsford by Khudiram Bose) and post-Non-Cooperation (focused on organized socialist rebellion, like the HSRA and Surya Sen's IRA).

Peripheral Facts: The Chittagong Armoury Raid (1930) was unique because it involved massive participation of young women revolutionaries (like Pritilata Waddedar and Kalpana Datta) in direct combat roles against British forces.",HARD,Modern,Revolutionary Nationalism
130,"With reference to the British 'Forward Policy' and the First Anglo-Afghan War (1839-42), consider the following statements:

1. The war was initiated by Lord Auckland primarily to counter the perceived threat of Russian expansion into Central Asia.

2. The British successfully annexed Afghanistan, making it a permanent province of the British Indian Empire.

3. The war resulted in a catastrophic military disaster for the British, with an entire army being annihilated during the retreat from Kabul.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",C,"Direct Answer: Option C is correct because statements 1 and 3 accurately describe the geopolitical motives and the disastrous outcome of the war.

Why the other options are wrong: Statement 2 is entirely false. Afghanistan was never permanently annexed. The British were forced to evacuate, restoring the original Amir, Dost Mohammad, whom they had previously deposed.

Core Concepts: The 'Great Game' was the geopolitical cold war between the British Empire and the Russian Empire over supremacy in Central Asia. The British aggressively intervened in Afghanistan to create a pliant buffer state.

Peripheral Facts: The retreat from Kabul in 1842 remains one of the worst defeats in British imperial history, where an army of nearly 16,000 soldiers and camp followers was slaughtered in the winter snow, with reportedly only one man (Dr. Brydon) surviving to reach Jalalabad.",HARD,Modern,British Foreign Policy
131,"Consider the following statements regarding the evolution of Press laws in colonial India:

1. Charles Metcalfe is known as the 'Liberator of the Indian Press' for repealing the draconian licensing regulations of 1823.

2. The Indian Press Act of 1910 forced local newspapers to pay massive security deposits, which could be forfeited if they published 'seditious' material.

3. Lord Ripon expanded the Vernacular Press Act to include restrictions on English-language newspapers.

Which of the statements given above is/are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because statements 1 and 2 accurately reflect major milestones in colonial press censorship.

Why the other options are wrong: Statement 3 is false. Lord Ripon, a liberal Viceroy, did not expand the Vernacular Press Act; he completely repealed it in 1882 to restore parity between the English and vernacular presses.

Core Concepts: The British state viewed the indigenous press as the primary incubator of nationalism. Laws oscillated based on the Viceroy: liberals (Metcalfe, Ripon) relaxed rules, while imperialists (Lytton, Curzon, Minto) passed gagging acts during political unrest.

Peripheral Facts: The 1910 Press Act was so financially ruinous that hundreds of local printing presses were forced to shut down entirely rather than pay the exorbitant security deposits demanded by local magistrates.",HARD,Modern,Press Regulations
132,"The Aitchison Commission (1886), appointed by Lord Dufferin, dealt with reforms in which sector of the British Indian administration?","(A) Reorganization of the British Indian Army after the 1857 revolt.
(B) Decentralization of provincial financial powers.
(C) Reforms in the Civil Services, including the abolition of the statutory civil service.
(D) The establishment of famine relief codes and agrarian banks.",C,"Direct Answer: Option C is correct. The Aitchison Commission was constituted specifically to address Indian demands for greater inclusion in public employment and the Civil Services.

Why the other options are wrong: Army reorganization was handled by the Peel Commission (1859). Financial decentralization was initiated by Lord Mayo. Famine codes were developed by the Strachey and MacDonnell commissions.

Core Concepts: The commission officially classified the services into Imperial, Provincial, and Subordinate civil services. It rejected the nationalist demand for simultaneous exams in London and India, ensuring the highest echelons remained a British monopoly.

Peripheral Facts: Prior to this, Lytton had created a 'Statutory Civil Service' (filling 1/6th of posts with aristocratic Indians by nomination), which failed miserably and was abolished upon the Aitchison Commission's recommendation.",HARD,Modern,Civil Services Reforms
133,The historic Poona Pact of 1932 was signed between Mahatma Gandhi and Dr. B.R. Ambedkar to resolve the intense political deadlock over the 'Communal Award'. What was the primary outcome of this pact?,"(A) It granted the Depressed Classes the right to form a separate, independent political state.
(B) It completely abolished the reservation of seats for the Depressed Classes in all legislative bodies.
(C) It rejected separate electorates for the Depressed Classes but significantly increased their reserved seats within the general Hindu electorates.
(D) It established joint electorates for all minority groups, including Muslims and Sikhs, across India.",C,"Direct Answer: Option C is correct. The pact abandoned the controversial separate electorates but nearly doubled the number of reserved seats (from 71 to 147) for the Depressed Classes in the provincial legislatures under a joint electorate system.

Why the other options are wrong: Option A is fabricated. Option B is false, as reservation was guaranteed, not abolished. Option D is false because the pact applied exclusively to the Depressed Classes (Dalits); Muslims and Sikhs retained their separate electorates from previous acts.

Core Concepts: Ramsay MacDonald's Communal Award attempted to legally separate the Depressed Classes from the Hindu fold. Gandhi, viewing this as a sinister plot to permanently divide Hindu society, undertook an epic fast unto death in Yerwada jail to force a compromise.

Peripheral Facts: The pact fundamentally shaped the architecture of affirmative action in India, ensuring political representation for marginalized castes within a unified democratic framework, a system that continues in modern Indian elections.",HARD,Modern,Poona Pact 1932
134,"Consider the following details regarding the Ahmedabad Mill Strike (1918):

1. The primary dispute was between the mill owners and the workers over the withdrawal of the 'Plague Bonus'.

2. It was the very first occasion where Mahatma Gandhi utilized the weapon of a 'hunger strike' in the Indian national movement.

3. The strike failed, and the workers were forced to return to the mills without any wage increase.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Direct Answer: Option B is correct because statements 1 and 2 accurately describe the cause and Gandhi's unprecedented tactic during the strike.

Why the other options are wrong: Statement 3 is false. The strike was highly successful. Gandhi's fast pressured the mill owners into arbitration, resulting in a 35% wage hike for the workers, exactly what Gandhi had demanded.

Core Concepts: The Ahmedabad Mill Strike, along with Champaran and Kheda, formed the foundational trinity of Gandhi's early grassroots activism in India, proving the effectiveness of Satyagraha to the peasant and working classes.

Peripheral Facts: Anasuya Sarabhai, a prominent social worker and the sister of one of the wealthy mill owners (Ambalal Sarabhai), actively supported the striking workers against her own brother's capitalist syndicate.",HARD,Modern,Working Class Movements
135,"Following the abrupt withdrawal of the Non-Cooperation Movement, the Congress split into the 'Swarajists' (Pro-changers) and the 'No-Changers'. Which of the following accurately describes the core strategy of the Swarajists?","(A) They wanted to completely boycott all upcoming elections and focus exclusively on constructive rural work.
(B) They advocated for a violent, armed overthrow of the British colonial state by uniting with communist forces.
(C) They wanted to enter the legislative councils to wreck the government from within by creating constitutional deadlocks.
(D) They desired to accept cabinet ministries and cooperate fully with the British to gain administrative experience.",C,"Direct Answer: Option C is correct. Leaders like C.R. Das and Motilal Nehru formed the Swaraj Party to contest elections, enter the councils, and aggressively obstruct the working of the dyarchy system from the inside.

Why the other options are wrong: Option A describes the exact strategy of the 'No-Changers' (Gandhi, Patel, Rajendra Prasad). Option B is a revolutionary communist strategy. Option D implies subservient cooperation, whereas the Swarajists practiced 'uniform, continuous, and consistent obstruction'.

Core Concepts: The Swarajists believed that keeping the councils empty would allow loyalist Indians to aid the British. By entering them, they exposed the hollow nature of the 1919 reforms and kept the political spirit alive during a period of mass fatigue.

Peripheral Facts: The Swarajists achieved significant parliamentary victories, most notably the election of Vithalbhai Patel (Sardar Patel's brother) as the first Indian President of the Central Legislative Assembly in 1925.",HARD,Modern,Swaraj Party
136,"Consider the following proposals offered by the Cripps Mission (1942):

1. It promised the grant of complete independence (Purna Swaraj) immediately after the conclusion of World War II.

2. It proposed a Constituent Assembly consisting of both elected provincial members and nominated representatives from Princely States.

3. It allowed any province that did not wish to join the new Indian Union to form a separate agreement with Britain.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 2 and 3 accurately reflect the constitutional mechanisms proposed by Stafford Cripps.

Why the other options are wrong: Statement 1 is false. The Cripps Mission only offered ""Dominion Status,"" not complete independence, which is precisely why Gandhi famously dismissed it as a ""post-dated cheque on a crashing bank.""

Core Concepts: The Mission was dispatched due to immense pressure from US President Roosevelt on Churchill to secure Indian cooperation against the advancing Japanese army. However, its ""opt-out"" clause (Statement 3) was a thinly veiled acceptance of the Muslim League's Pakistan demand.

Peripheral Facts: The failure of the Cripps Mission to offer immediate, meaningful transfer of power directly triggered the launch of the massive and violent Quit India Movement in August 1942.",HARD,Modern,Cripps Mission 1942
137,The Butler Committee (1927) was established by the British government to primarily investigate and clarify which of the following complex relationships?,"(A) The financial devolution of power between the Central government and the provincial legislatures.
(B) The relationship between the British Paramount Power and the Indian Princely States.
(C) The deeply flawed electoral system of separate electorates granted to religious minorities.
(D) The boundary demarcation between India and Afghanistan along the Durand Line.",B,"Direct Answer: Option B is correct. The Harcourt Butler Indian States Committee was appointed to examine and clarify the nature of 'Paramountcy'—the relationship between the British Crown and the semi-autonomous Indian Princely States.

Why the other options are wrong: Financial devolution was handled by earlier acts and commissions. Electorates were the domain of the Simon Commission and Lothian Committee. Boundary lines were negotiated much earlier (Durand line in 1893).

Core Concepts: The Princely States were deeply anxious about the growing democratic demands in British India. The Butler Committee reassured them that Paramountcy remained directly with the British Crown and would not be transferred to an elected Indian government without their consent.

Peripheral Facts: This legal distinction created a massive constitutional headache during independence, as the Princes argued that with the British departure, they would legally revert to being fully independent sovereign nations.",HARD,Modern,Princely States Integration
138,"Consider the following statements regarding the early Left and Communist movement in India:

1. The Communist Party of India (CPI) was formally established in Tashkent in 1920 by M.N. Roy and others.

2. The Meerut Conspiracy Case (1929) was a massive government trial designed to crush the growing communist influence in the trade union movement.

3. Left-wing leaders within the Congress, like Subhas Chandra Bose and Jawaharlal Nehru, formed the Congress Socialist Party (CSP) and subsequently broke away from the INC entirely in 1934.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Direct Answer: Option B is correct because statements 1 and 2 are historically accurate.

Why the other options are wrong: Statement 3 is false. The Congress Socialist Party (CSP) was formed by leaders like Jayaprakash Narayan and Acharya Narendra Dev (not primarily Bose/Nehru), and crucially, they operated within the INC framework; they did not break away from the main party at that time.

Core Concepts: The 1920s saw the rapid radicalization of Indian youth, inspired by the Russian Revolution. The British viewed communism as a massive threat to imperial capitalism, executing multiple conspiracy trials (Peshawar, Kanpur, Meerut) to jail its leadership.

Peripheral Facts: The Meerut trial backfired spectacularly on the British. By making it a public, four-year-long spectacle, the British inadvertently gave the communists a national platform to broadcast their anti-imperialist, pro-worker ideology across the entire country.",HARD,Modern,Left Movement in India
139,"Which of the following women's organizations was founded by Sarala Devi Chaudhurani in 1910 in Allahabad, marking one of the first major attempts to form an all-India women's organization?","(A) All India Women's Conference (AIWC)
(B) Bharat Stree Mahamandal
(C) Arya Mahila Samaj
(D) Women's Indian Association (WIA)",B,"Direct Answer: Option B is correct. Sarala Devi Chaudhurani founded the Bharat Stree Mahamandal in 1910 to bring women of all castes and classes together for moral and material upliftment.

Why the other options are wrong: The AIWC was founded later in 1927 by Margaret Cousins. The Arya Mahila Samaj was founded by Pandita Ramabai in 1882. The WIA was established in 1917 by Annie Besant and others.

Core Concepts: The early 20th century marked a transition in social reform. Instead of men advocating for women (as in the 19th century), women began forming their own autonomous organizations to demand education, abolish purdah, and eventually fight for universal adult suffrage.

Peripheral Facts: Sarala Devi Chaudhurani was highly politically active; she was the niece of Rabindranath Tagore and heavily utilized physical culture and martial arts to instill anti-colonial nationalism in Bengali youth.",HARD,Modern,Women in the National Movement
140,"Consider the following details regarding the Mahad Satyagraha of 1927:

1. It was led by Dr. B.R. Ambedkar to assert the legal right of untouchables to draw water from the public Chavadar tank.

2. During this movement, the Manusmriti was ceremonially burned to protest against its codification of caste inequality.

3. The Satyagraha received active support from orthodox Hindu leadership of Indian National Congress.

Which of the statements given above is/are correct?","(A) 1 only
(B) 1 and 2 only
(C) 2 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 1 and 2 highlight the core civil rights action and the powerful symbolic protest executed during the movement.

Why the other options are wrong: Statement 3 is entirely false. The movement faced violent opposition from orthodox, upper-caste Hindus who physically attacked the Dalits. Mainstream Congress leadership largely remained silent or aloof to avoid alienating their conservative support base.

Core Concepts: The Mahad Satyagraha was a watershed moment in Dalit history. It shifted the struggle from passive reform to direct action, asserting that untouchables had equal civic rights to public resources.

Peripheral Facts: Ambedkar argued that drawing water was not merely about physical thirst, but a psychological assertion of human equality, mirroring the French Revolution's declaration of human rights.",HARD,Modern,Lower Caste Movements
141,"The Indian Councils Act of 1892 introduced several important constitutional changes. Which of the following statements accurately reflects its provisions?

1. It introduced the principle of direct, universal adult franchise for the election of provincial legislative councils.

2. It granted the legislative councils the power to discuss the annual budget, although they could not vote on it.

3. It gave council members the right to ask questions on matters of public interest after giving appropriate notice.","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct. The 1892 Act allowed the discussion of the budget and the asking of public interest questions, marking a small step toward parliamentary functioning.

Why the other options are wrong: Statement 1 is totally false. There was no direct election or universal franchise. The Act used a highly restricted system of ""indirect elections"" (nomination based on recommendations from municipalities, universities, etc.), carefully avoiding the word ""election.""

Core Concepts: The Act was a direct response to the persistent demands of the early Moderate phase of the Congress, which demanded expanding the councils and giving Indians greater oversight over the colonial treasury.

Peripheral Facts: While they could discuss the budget, members were strictly prohibited from moving any cut motions or asking supplementary questions, rendering their financial oversight largely toothless.",HARD,Modern,Constitutional History (1892 Act)
142,"Consider the following sequence of famous Famine Commissions established during British rule:

1. MacDonnell Commission

2. Campbell Commission

3. Strachey Commission

What is the correct chronological order of their appointment?","(A) 2 - 3 - 1
(B) 3 - 2 - 1
(C) 2 - 1 - 3
(D) 1 - 2 - 3",A,"Direct Answer: Option A is correct. The chronological order is Campbell Commission (1866), Strachey Commission (1880), and MacDonnell Commission (1900).

Why the other options are wrong: Any other order scrambles the timeline of the devastating colonial famines and the subsequent British policy responses.

Core Concepts: Devastating famines were a recurring feature of British rule due to the commercialization of agriculture and destruction of local food security. The Campbell Commission followed the Orissa famine. The Strachey Commission (under Lytton) formulated the first comprehensive Famine Code.

Peripheral Facts: The Strachey Commission officially recognized that it was the duty of the state to provide famine relief, recommending the creation of a dedicated Famine Insurance Fund to finance public works during droughts.",HARD,Modern,British Economic Policies (Famines)
143,The Carnatic Wars (1746-1763) established British supremacy in South India. Which of the following statements regarding these conflicts is NOT correct?,"(A) The First Carnatic War was merely an extension of the broader geopolitical War of the Austrian Succession in Europe.
(B) The Battle of Wandiwash (1760) resulted in the decisive and permanent defeat of the French East India Company.
(C) The wars were primarily fought between the British and the powerful Maratha Empire for the control of Mysore.
(D) Dupleix, the ambitious French Governor, initiated the policy of intervening in the internal succession disputes of Indian princes to gain territory.",C,"Direct Answer: Option C is the correct answer because it is factually false. The Carnatic Wars were fought exclusively between the British and the French East India Companies (along with their respective local Indian allies), not the Marathas.

Why the other options are wrong: Options A, B, and D are all historically accurate statements. The Battle of Wandiwash shattered French imperial dreams, restricting them to mere trading enclaves like Pondicherry.

Core Concepts: These wars exposed the absolute military superiority of disciplined European infantry and modern artillery over the massive but disorganized traditional Indian armies, setting the template for the entire colonial conquest of India.

Peripheral Facts: Robert Clive emerged as an imperial hero during the Second Carnatic War through his brilliant defense of Arcot, crippling the French-backed forces and establishing British political dominance in the Carnatic.",HARD,Modern,Anglo-French Rivalry
144,"Consider the following columns relating to the Anglo-Maratha Wars and their defining treaties:

(Treaty)                                                 (Context/Outcome)
1. Treaty of Salbai (1782)                Ended the First Anglo-Maratha War, securing a 20-year peace.
2. Treaty of Bassein (1802)            Peshwa Baji Rao II accepted the Subsidiary Alliance, surrendering Maratha independence.
3. Treaty of Purandar (1776)          Abolished the office of the Peshwa and exiled him to Bithur.

How many of the rows given above are correctly matched?","(A) Only one row
(B) Only two rows
(C) All three rows
(D) None of the rows",B,"Direct Answer: Option B is correct because rows 1 and 2 accurately define major treaties, while row 3 is factually wrong.

Why the other options are wrong: Row 3 is false. The Treaty of Purandar was an early, unstable truce during the First War. The abolition of the Peshwaship and his exile to Bithur occurred decades later, at the conclusion of the Third Anglo-Maratha War (1818).

Core Concepts: The Maratha Empire was the only indigenous power capable of replacing the Mughals, but their internal disunity (the infighting between Scindia, Holkar, Bhonsle, and the Peshwa) allowed the British to defeat them piecemeal over three wars.

Peripheral Facts: The Treaty of Bassein is often viewed by historians as the ""death knell"" of the Maratha Empire, as the Peshwa practically sold his sovereignty to Lord Wellesley to save himself from his own rebellious chiefs.",HARD,Modern,Anglo-Maratha Wars
145,"With reference to the three Round Table Conferences (1930-1932) held in London, consider the following statements:

1. Mahatma Gandhi attended the three conferences as the sole representative of the Indian National Congress.

2. Dr. B.R. Ambedkar attended all three conferences, consistently advocating for the rights and separate electorates of the Depressed Classes.

3. The conferences successfully resulted in the drafting of a mutually agreed constitution that granted India immediate dominion status.

Which of the statements given above is/are correct?","(A) 2 only
(B) 1 and 2 only
(C) 2 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because only statement 2 accurately reflects Ambedkar's consistent participation across all three summits.

Why the other options are wrong: Statement 1 is false; Gandhi and the Congress boycotted the first and third conferences, only attending the second following the Gandhi-Irwin pact. Statement 3 is false; the conferences ended in deadlock over minority representation and failed to grant dominion status.

Core Concepts: The British strategy at the Round Table Conferences was to expose and exacerbate the deep communal, caste, and princely divisions within Indian society, thereby proving that Indians were too divided to govern themselves.

Peripheral Facts: The failure of the Second Round Table Conference directly led to the British Prime Minister announcing the 'Communal Award', which in turn triggered Gandhi's epic fast and the subsequent Poona Pact.",HARD,Modern,Round Table Conferences
